min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,906,73.39955849889624,665
0.9,0.95,,0.0,100.0,906,73.39955849889624,665
0.85,0.9,,0.0,100.0,906,73.39955849889624,665
0.8,0.85,,0.0,100.0,906,73.39955849889624,665
0.75,0.8,,0.0,100.0,906,73.39955849889624,665
0.7,0.75,0.0,0.0,99.77924944812362,904,73.17880794701986,663
0.65,0.7,,0.0,99.77924944812362,904,73.17880794701986,663
0.6,0.65,0.03225806451612889,0.005681818181818182,99.11699779249447,898,72.84768211920529,660
0.55,0.6,0.0,0.004545454545454546,98.67549668874173,894,72.84768211920529,660
0.5,0.55,0.4117647058823529,0.016666666666666666,98.12362030905078,889,72.7373068432671,659
0.45,0.5,0.0,0.0,97.7924944812362,886,72.40618101545255,656
0.4,0.45,0.010989010989011172,0.004545454545454546,96.68874172185431,876,71.8543046357616,651
0.35,0.4,0.10062893081761004,0.019283746556473826,93.81898454746137,850,70.30905077262693,637
0.3,0.35,0.017486338797814138,0.005199049316696376,86.9757174392936,788,66.44591611479028,602
0.25,0.3,-0.012081625683060038,0.0058879502613517955,69.6467991169978,631,54.52538631346579,494
0.2,0.25,0.006624377709972817,0.004151908697363243,44.5916114790287,404,34.98896247240618,317
0.15,0.2,0.0125557746186572,0.005111256691079307,17.660044150110377,160,14.459161147902869,131
0.1,0.15,-0.020307778792776343,0.002066115702479339,4.304635761589404,39,3.863134657836645,35
0.05,0.1,0.03735823882588396,0.006087662337662337,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
